asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B0CN1QSH8Q,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, Hi-Res Camera, US Version, 2024, Blue Black",$199.99,,USD,4.1,350,https://www.amazon.com/dp/B0CN1QSH8Q,https://m.media-amazon.com/images/I/61s0ZzwzSCL._AC_UY654_FMwebp_QL65_.jpg,2,$146.93,False,False,True,True,2K+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Tue, Jul 16",True
B0CHH6X6H2,Total by Verizon | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black,$49.88,,USD,4,167,https://www.amazon.com/dp/B0CHH6X6H2,https://m.media-amazon.com/images/I/812woqv69CL._AC_UY654_FMwebp_QL65_.jpg,1,$49.88,False,False,True,False,1K+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Tue, Jul 16",False
B0C5BMB1WB,Motorola One Ace | 2021 | 2-Day Battery | Unlocked | Made for US 4/64GB | 48MP Camera | Volcanic Gray,$85.73,,USD,4,107,https://www.amazon.com/dp/B0C5BMB1WB,https://m.media-amazon.com/images/I/51JEsDX-ynL._AC_UY654_FMwebp_QL65_.jpg,1,$85.73,False,False,True,False,1K+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Tue, Jul 16",False
B0CRVWXJ6H,"Samsung Galaxy A25 5G (SM-A256E/DS), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) - (Blue Black)",$183.00,$247.97,USD,4,127,https://www.amazon.com/dp/B0CRVWXJ6H,https://m.media-amazon.com/images/I/51m744UUjYL._AC_UY654_FMwebp_QL65_.jpg,16,$169.99,False,False,True,Only 14 left in stock - order soon.,False,1K+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Wed, Jul 17 Only 14 left in stock - order soon.",True
B086QB7WZ1,"AT&amp;T BL102-2 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",$47.97,$56.95,USD,4.3,26482,https://www.amazon.com/dp/B086QB7WZ1,https://m.media-amazon.com/images/I/81vjTHTF9WL._AC_UY654_FMwebp_QL65_.jpg,4,$16.11,True,False,True,False,3K+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Tue, Jul 16",False
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$74.99,$87.14,USD,3.9,427,https://www.amazon.com/dp/B09SM24S8C,https://m.media-amazon.com/images/I/51m45B3Yy+L._AC_UY654_FMwebp_QL65_.jpg,26,$61.56,False,False,False,False,2K+ bought in past month,"FREE delivery Wed, Jul 17",True
B0CHHL5R3H,"Total by Verizon TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",$39.99,,USD,3.7,31,https://www.amazon.com/dp/B0CHHL5R3H,https://m.media-amazon.com/images/I/718+xprSIBL._AC_UY654_FMwebp_QL65_.jpg,1,$39.99,False,False,True,False,400+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Tue, Jul 16",False
B0CCSZZGT7,"TracFone Motorola moto g Play, 32GB, Black - Prepaid Smartphone (Locked)",$47.38,$49.99,USD,4,198,https://www.amazon.com/dp/B0CCSZZGT7,https://m.media-amazon.com/images/I/71pGGUaxezL._AC_UY654_FMwebp_QL65_.jpg,10,$41.07,False,False,True,False,1K+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Tue, Jul 16",False
B096T6Y623,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",$298.99,,USD,4,2107,https://www.amazon.com/dp/B096T6Y623,https://m.media-amazon.com/images/I/61dlAm9BpqL._AC_UY654_FMwebp_QL65_.jpg,38,$256.00,False,False,False,True,2K+ bought in past month,"FREE delivery Wed, Jul 17",True
B0CGWF3F64,"Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Summer Lilac, 73.95 x 170.82 x 7.35mm",$449.99,$699.99,USD,4.1,298,https://www.amazon.com/dp/B0CGWF3F64,https://m.media-amazon.com/images/I/61nVT+i3rdL._AC_UY654_FMwebp_QL65_.jpg,2,$383.62,False,False,True,False,100+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Tue, Jul 16",False
B0BLZN9NDG,"SAMSUNG,Galaxy A04e (SM-A042M/DS) Dual SIM 32GB,6.5&#x27;&#x27; GSM Unlocked,International Version-Black",$88.99,,USD,3.8,575,https://www.amazon.com/dp/B0BLZN9NDG,https://m.media-amazon.com/images/I/71O2YkTlq-L._AC_UY654_FMwebp_QL65_.jpg,10,$75.00,False,False,True,False,1K+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Wed, Jul 17",True
B0CTBCDCDH,"Samsung Galaxy A05s (SM-A057M/DS), 128GB 4GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Violet)",$119.99,$128.95,USD,4.1,27,https://www.amazon.com/dp/B0CTBCDCDH,https://m.media-amazon.com/images/I/21f9A+OzosL._AC_UY365_FMwebp_QL65_.jpg,11,$118.35,False,False,True,False,300+ bought in past month,"FREE delivery Fri, Jul 19 Or fastest delivery Tue, Jul 16",False
B09V5LDZQ4,"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera &amp; Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",$250.00,$809.99,USD,4.1,1747,https://www.amazon.com/dp/B09V5LDZQ4,https://m.media-amazon.com/images/I/61kfOWlQLsL._AC_UY654_FMwebp_QL65_.jpg,43,$197.45,False,False,False,False,1K+ bought in past month,"FREE delivery Wed, Jul 17",True
